,data_name,data_source,full_validation_dataset,training_set_ratio,validation_set_ratio,test_set_ratio,tissue,cell_count,species,health_status,is_perturbed,perturbation_type,perturbation_count,has_temporal_info,sampling_point_count,temporal_value,temporal_unit,storage_path,data_type,sequencing_technology
0,exp8.HIC2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,5298,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
1,UPR_Perturb_seq.SPCS2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7885,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
2,exp7.BTF3.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6738,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
3,k562_tfs_highmoi.ETS1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,10912,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
4,pilot.SPI1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,2356,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
5,K562_GW.RBAK.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73588,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
6,K562_essential.NUF2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,10885,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
7,K562_GW.RAB4A.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73589,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
8,K562_GW.RPL3.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,74874,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
9,exp7.HBG2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6895,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
